tag,start,end,cumdiff
SCPTN077FLW001.TOTAL_FLOW,2021-11-16T06:00:00.000Z,2021-11-16T12:00:00.000Z,0.0
SCPTN077SPR001.CUMULATIVE_TOTAL_FLOW,2021-11-16T06:00:00.000Z,2021-11-16T12:00:00.000Z,3.0
SCCHT073FLW001.TOTAL_FLOW,2021-11-16T06:00:00.000Z,2021-11-16T12:00:00.000Z,3.0
SCPTN077FLW002.TOTAL_FLOW,2021-11-16T06:00:00.000Z,2021-11-16T12:00:00.000Z,1.0047534070000002E8
SCCHT073SPR001.TOTAL_FLOW,2021-11-16T06:00:00.000Z,2021-11-16T12:00:00.000Z,0.0
SCCHT073FLW002.TOTAL_FLOW,2021-11-16T06:00:00.000Z,2021-11-16T12:00:00.000Z,4.04337535E8
SCPTN077SPR001.TOTAL_FLOW,2021-11-16T06:00:00.000Z,2021-11-16T12:00:00.000Z,9.11176E7
SCTRN020SPR001.CUMULATIVE_TOTAL_FLOW,2021-11-18T06:00:00.000Z,2021-11-18T12:00:00.000Z,0.0
SCTRN020FLW002.TOTAL_FLOW,2021-11-18T06:00:00.000Z,2021-11-18T12:00:00.000Z,0.0
SCMLN011SPR001.TOTAL_FLOW,2021-11-18T06:00:00.000Z,2021-11-18T12:00:00.000Z,66948.7
SCTRN020FLW002.CUMULATIVE_TOTAL_FLOW,2021-11-18T06:00:00.000Z,2021-11-18T12:00:00.000Z,0.0
SCTRN020SPR001.TOTAL_FLOW,2021-11-18T06:00:00.000Z,2021-11-18T12:00:00.000Z,1791015.7999999989
SCMLN011FLW001.CUMULATIVE_TOTAL_FLOW,2021-11-18T06:00:00.000Z,2021-11-18T12:00:00.000Z,0.0
SCTRN020FLW001.TOTAL_FLOW,2021-11-18T06:00:00.000Z,2021-11-18T12:00:00.000Z,7.97337804E9
SCMLN011FLW002.TOTAL_FLOW,2021-11-18T06:00:00.000Z,2021-11-18T12:00:00.000Z,0.0
SCMLN011FLW001.TOTAL_FLOW,2021-11-18T06:00:00.000Z,2021-11-18T12:00:00.000Z,0.0
